title,release_date,developer,publisher,tags,bundle,music
Unit 404,"20 Aug, 2020",[OneManBand],[OneManBand],"Sokoban,Puzzle Platformer,Puzzle,2D,2D Platformer,Logic,Singleplayer,Platformer,Indie,Casual,Atmospheric,Cute,Adventure,Pixel Graphics,Difficult,Hand-drawn,Programming",,
Puzzlement,"1 Feb, 2018",Yunus Ayyildiz,Yunus Ayyildiz,"Casual,Indie,Simulation,Puzzle,Minimalist,Platformer,Puzzle Platformer,2D,Relaxing,Singleplayer,Logic,Physics,Difficult,Short",,Buy puzzlement
VOI,"7 Nov, 2016",Yunus Ayyildiz,Yunus Ayyildiz,"Casual,Indie,Puzzle,Simulation,Singleplayer,Short,Relaxing,2D,Physics,Difficult,Minimalist,Logic",,Buy VOI
the Sequence [2],"12 Nov, 2021",[OneManBand],[OneManBand],"Automation,Puzzle,Programming,Simulation,Logic,Stylized,Minimalist,Indie,Singleplayer,Casual",,Buy the Sequence [2]
The Forest Quartet,"8 Dec, 2022",Mads & Friends,Bedtime Digital Games,"Indie,Puzzle,Story Rich,Singleplayer,Music,Mystery,Female Protagonist,Relaxing,Exploration,Isometric,Controller,Linear,Narration,3D,Colorful,Minimalist,Stylized,Philosophical,Atmospheric,Emotional",,Buy The Forest Quartet
Figment,"22 Sep, 2017",Bedtime Digital Games,Bedtime Digital Games,"Adventure,Indie,Action,Puzzle,Hand-drawn,Singleplayer,Great Soundtrack,Isometric,Surreal,Atmospheric,Colorful,Funny,Cute,Controller,Story Rich,Music,Casual,Exploration,Action-Adventure,Multiplayer",,Buy Figment
Chronology,"12 May, 2014",Bedtime Digital Games,Bedtime Digital Games,"Adventure,Puzzle Platformer,Indie,Platformer,Puzzle,Time Manipulation,Short,Time Travel,2D",,Buy Chronology
Odysseus Kosmos and his Robot Quest (Complete Season),"1 Dec, 2017",Pavel Kostin,HeroCraft PC,"Point & Click,Atmospheric,Pixel Graphics,Indie,Puzzle,Adventure,Sci-fi,Space,Funny,Singleplayer,Robots,Mouse only,Comedy,Time Travel,Mystery,Hand-drawn,Family Friendly,Investigation,Relaxing,Story Rich",,Buy Odysseus Kosmos and his Robot Quest (Complete Season)
Pankapu,"21 Sep, 2016",Too Kind Studio,Dear Villagers,"Action,Indie,Adventure,Platformer,2D,Cute,Story Rich,Atmospheric,Metroidvania,Co-op,Multiplayer,Side Scroller,2D Platformer,Singleplayer",,Buy Pankapu - Complete Edition
Omensight: Definitive Edition,"15 May, 2018",Spearhead Games,Spearhead Games,"Action,Indie,Adventure,RPG,Fantasy,Time Travel,Story Rich,Mystery,Swordplay,Choices Matter,Dark Fantasy,Hack and Slash,Dynamic Narration,Great Soundtrack,Action RPG,Female Protagonist,Singleplayer",,Buy Omensight
Stories: The Path of Destinies,"12 Apr, 2016",Spearhead Games,Spearhead Games,"Adventure,RPG,Action,Indie,Choices Matter,Fantasy,Dynamic Narration,Hack and Slash,Action RPG,Singleplayer,Multiple Endings,Colorful,Swordplay,Great Soundtrack,Story Rich,Isometric,Funny,Narration,Comedy,Action-Adventure",,Buy Stories: The Path of Destinies
Tick Tock Isle,"19 Nov, 2015",Squiddershins,Squiddershins,"Adventure,Indie,Casual,Time Travel,Funny,Pixel Graphics,Singleplayer,Platformer,2D,Short",,Buy Tick Tock Isle
The Inner World,"27 Sep, 2013",Studio Fizbin,Headup,"Adventure,Point & Click,Puzzle,Indie,Story Rich,2D,Retro,Great Soundtrack,Singleplayer,1990's,Funny,Comedy,Classic,Fantasy",,Buy The Inner World
Keep in Mind: Remastered,"8 Mar, 2018",Little Moth Games,Akupara Games,"Horror,Story Rich,Adventure,Indie,Dark,Singleplayer,Psychological Horror,Short,Psychological,Emotional,Pixel Graphics,Atmospheric,Retro,Great Soundtrack,Mystery,Exploration,Walking Simulator,Stylized,Dynamic Narration,Philosophical",,Buy Keep in Mind: Remastered
Playback Trauma®: The Dog,"25 Oct, 2024",Undying Joy,Undying Joy,"Psychological Horror,First-Person,Adventure,Exploration,Walking Simulator,3D,Horror,Realistic,Dark,Singleplayer,Linear,Short",,Buy Playback Trauma: The Dog
Playback Trauma®: In Sickness,"25 Jan, 2023",Undying Joy,Undying Joy,"Psychological Horror,Visual Novel,Hand-drawn,Adventure,Interactive Fiction,Romance,Female Protagonist,Choose Your Own Adventure,2D,Minimalist,America,Atmospheric,Gore,Horror,Choices Matter,Story Rich,Singleplayer,Dark",,Buy Playback Trauma®: In Sickness
Isolomus,"4 Dec, 2020",Michael Rfdshir,Michael Rfdshir,"Indie,Psychological Horror,Casual,Short,Dark Humor,Surreal,Adventure,Puzzle,Singleplayer,Horror,Point & Click,Story Rich,2D,Minimalist,Atmospheric,Dark,Stylized,Funny,Mystery,Violent",,Buy Isolomus
Horror Stories: PLEASE COMPLY,"12 Nov, 2021",Villainous Games Studio,Villainous Games Studio,"Exploration,Interactive Fiction,Visual Novel,Life Sim,Point & Click,Walking Simulator,First-Person,Horror,Psychological Horror,Controller,Linear,Casual,Action,Abstract,Minimalist,Philosophical,Thriller,Psychedelic,Atmospheric,Emotional",,Buy Please Comply
Playback Trauma®: The Beach,"26 Jan, 2022",Undying Joy,Undying Joy,"Psychological Horror,Exploration,Walking Simulator,Horror,First-Person,3D,Story Rich,Realistic,Atmospheric,Adventure,Singleplayer,Immersive,Psychological,Simulation,Casual,Dark,Thriller,Open World",,Buy Playback Trauma®: The Beach
Soulslinger: Envoy of Death,"14 Dec, 2023",Elder Games,Headup,"Early Access,Western,Roguelite,Action Roguelike,FPS,Fantasy,Story Rich,Action,Perma Death,Dungeon Crawler,Arena Shooter,Shooter,Boomer Shooter,First-Person,Roguelike,3D,Combat,Singleplayer,Atmospheric,Dark Fantasy",,
Harvest Hunt,"22 May, 2024",Villainous Games Studio,Neonhive Games,"First-Person,Indie,Survival Horror,Horror,Lovecraftian,Roguelite,Singleplayer,Action,Stealth,Supernatural,Lore-Rich,Replay Value,Story Rich,Dark,Atmospheric,3D,Hunting,Adventure,Survival,Strategy",,Buy Harvest Hunt
Dr. Fetus' Mean Meat Machine,"22 Jun, 2023",Headup,Headup,"Action,Casual,Arcade,Puzzle,Difficult,Replay Value,Fast-Paced,Singleplayer,Score Attack,2D,Indie,Controller,Cartoony,Colorful,Funny",,
Hell Pie,"21 Jul, 2022",Sluggerfly,Headup,"Comedy,Third Person,Platformer,Singleplayer,3D Platformer,Collectathon,Cute,Adventure,Cartoony,Action-Adventure,Dark Humor,3D,Demons,Family Friendly,Satire,Violent,Controller,Character Customization,Sexual Content,Combat",,Buy Hell Pie
INDUSTRIA,"30 Sep, 2021",Bleakmill,Headup,"FPS,Action,Sci-fi,Singleplayer,Dystopian,Atmospheric,Story Rich,Mystery,Shooter,Surreal,Adventure,Female Protagonist,Puzzle,First-Person,Alternate History,Soundtrack,Horror,Immersive,Robots,Indie",,Buy Industria
Escape from Naraka,"29 Jul, 2021",XeloGames,Headup,"3D Platformer,Parkour,Platformer,Runner,First-Person,Action,Mythology,Precision Platformer,Score Attack,Fantasy,Adventure,Singleplayer,Physics,Indie,3D,Horror,FPS,Action-Adventure,Collectathon,Exploration",,Buy Escape from Naraka
Super Meat Boy Forever,"10 Jan, 2022",Team Meat,Team Meat,"Indie,Action,Precision Platformer,Difficult,Platformer,Runner,Singleplayer,2D,Side Scroller,Violent,Colorful,Gore,Family Friendly,Funny,Hack and Slash,2D Platformer,Adventure,War,Dark Comedy,Blood",,Buy Super Meat Boy Forever
Somerville,"14 Nov, 2022",Jumpship,Jumpship,"Atmospheric,Emotional,Adventure,Story Rich,Cinematic,Puzzle,Action-Adventure,Dark,Multiple Endings,Indie,Ambient,Narrative,Sci-fi,3D,2.5D,Singleplayer,Mystery,Horror,Walking Simulator,Beautiful",,Buy Somerville
Aerial_Knight's Never Yield,"19 May, 2021",Aerial_Knight,Headup,"Runner,Music,Difficult,Platformer,3D,Adventure,Thriller,Bullet Time,Action,Cinematic,Stylized,Sci-fi,Futuristic,Indie,Quick-Time Events,2D,Singleplayer,Casual,Parkour",,Buy Aerial_Knight's Never Yield
Gigapocalypse,"12 Nov, 2021",Goody Gameworks,Headup,"Action,Casual,Arcade,2D,2D Fighter,Pixel Graphics,Colorful,Destruction,1990's,Dinosaurs,Retro,Dragons,Indie,Character Customization,Cute,Singleplayer",,Buy Gigapocalypse
The Gunk,"29 Apr, 2022",Image & Form Games,Thunderful Publishing,"Action-Adventure,Atmospheric,Sci-fi,Family Friendly,3D Platformer,Relaxing,Space,Female Protagonist,Third Person,Exploration,Colorful,Adventure,Controller,Linear,Metroidvania,Story Rich,Singleplayer,Nature,Narrative,Action",,Buy The Gunk
Astor: Blade of the Monolith,"30 May, 2024",C2 Game Studio,Versus Evil,"Action RPG,Action-Adventure,Action,Hack and Slash,Combat,Adventure,3D,Third Person,RPG,Fantasy,Dungeon Crawler,Beat 'em up,Controller,Story Rich,Casual,Exploration,Puzzle,Singleplayer,Colorful,Metroidvania",,Buy Astor: Blade of the Monolith
Wavetale,"12 Dec, 2022",Thunderful Development,Thunderful Publishing,"Adventure,Action-Adventure,3D Platformer,Platformer,3D,Cartoony,Cinematic,Colorful,Stylized,Third Person,Atmospheric,Nature,Pirates,Relaxing,Controller,Female Protagonist,Linear,Singleplayer,Story Rich",,Buy Wavetale
KAKU: Ancient Seal,"11 Jul, 2024",BINGOBELL,BINGOBELL,"Open World,Action RPG,Action-Adventure,Cartoon,RPG,Action,Combat,Adventure,Dungeon Crawler,Exploration,Puzzle,Fantasy,Mythology,Character Action Game,Puzzle Platformer,Third Person,3D,Story Rich,Cartoony,Singleplayer",,
Viewfinder,"18 Jul, 2023",Sad Owl Studios,Thunderful Publishing,"Puzzle Platformer,Puzzle,First-Person,Singleplayer,3D Platformer,Psychological,Surreal,Adventure,Physics,Action-Adventure,Dark Humor,Atmospheric,Narration,Exploration,Colorful,Abstract,Story Rich,Platformer,Stylized,Retro",,Buy Viewfinder
Dungeons of Hinterberg,"18 Jul, 2024",Microbird Games,Curve Games,"Relaxing,Hack and Slash,Puzzle,Exploration,Adventure,Singleplayer,Action,Atmospheric,Dungeon Crawler,PvE,Indie,Puzzle Platformer,Platformer,Action RPG,Action-Adventure,Female Protagonist,3D,RPG,Story Rich,Wholesome",,Buy Dungeons of Hinterberg
Asterigos: Curse of the Stars,"11 Oct, 2022",Acme Gamestudio,tinyBuild,"Female Protagonist,Exploration,Souls-like,Action RPG,Story Rich,Action-Adventure,Rome,Hack and Slash,Mythology,Magic,Action,RPG,3D,Medieval,Third Person,Metroidvania,Controller,Multiple Endings,Fantasy,Stylized",,Buy Asterigos: Curse of the Stars
For The King II,"2 Nov, 2023",IronOak Games,Curve Games,"Adventure,RPG,Strategy,Party-Based RPG,Board Game,Roguelike,Turn-Based Strategy,Roguelite,Tabletop,Multiplayer,Turn-Based Combat,Online Co-Op,Co-op,Fantasy,Local Co-Op,Hex Grid,Local Multiplayer,Open World,Singleplayer,PvP",,Buy For The King II
For The King,"19 Apr, 2018",IronOak Games,Curve Games,"RPG,Online Co-Op,Strategy,Open World,Roguelike,Turn-Based,Multiplayer,Turn-Based Combat,Co-op,Adventure,Tabletop,Roguelite,Turn-Based Strategy,Party-Based RPG,Board Game,Local Co-Op,Indie,Fantasy,Hex Grid,Strategy RPG",,Buy For The King
Pathfinder: Wrath of the Righteous - Enhanced Edition,"2 Sep, 2021",Owlcat Games,META Publishing,"Psychological Horror,Medieval,Dark,Multiple Endings,Open World,Controller,PvE,Mystery,Combat,Nature,Quick-Time Events,CRPG,RPG,Character Customization,Dark Fantasy,Story Rich,Fantasy,Tabletop,Choices Matter,Tactical",,Buy Pathfinder: Wrath of the Righteous
Children of Morta,"3 Sep, 2019",Dead Mage,11 bit studios,"Multiplayer,Roguelike,Pixel Graphics,Hack and Slash,Online Co-Op,Action Roguelike,RPG,Roguelite,Local Co-Op,Dungeon Crawler,Action,Story Rich,Singleplayer,Co-op,Action RPG,2D,Isometric,Procedural Generation,Fantasy,Action-Adventure",,Buy Children of Morta
"Warhammer 40,000: Rogue Trader","7 Dec, 2023",Owlcat Games,Owlcat Games,"Strategy,Cinematic,Strategy RPG,Online Co-Op,Multiplayer,Dungeon Crawler,Collectathon,Atmospheric,Multiple Endings,Space,Tactical RPG,Sci-fi,Tactical,Combat,Interactive Fiction,Dark Humor,Mystery,Co-op,PvE,Exploration",,"Buy Warhammer 40,000: Rogue Trader"
Magicka 2,"26 May, 2015",Pieces Interactive,Paradox Interactive,"Magic,Co-op,Adventure,Multiplayer,Comedy,Action,Online Co-Op,Funny,Local Co-Op,RPG,Atmospheric,Team-Based,PvP,Fantasy,Open World,Local Multiplayer,Singleplayer,Gore,Memes,Isometric",,Buy Magicka 2
Magicka,"25 Jan, 2011",Arrowhead Game Studios,Paradox Interactive,"Comedy,Co-op,Action,Fantasy,Magic,Online Co-Op,Multiplayer,RPG,Adventure,Funny,Local Co-Op,4 Player Local,Indie,Local Multiplayer,Difficult,Singleplayer,Team-Based,Action RPG,Arcade,Strategy",,Buy Magicka
Reverse: 1999,"8 Oct, 2024","BLUEPOCH GAMES CO., LIMITED","BLUEPOCH GAMES CO., LIMITED","RPG,Visual Novel,Story Rich,Strategy RPG,Turn-Based Combat,Lore-Rich,Alternate History,Singleplayer,2D,Card Battler,Anime,2D Platformer,CRPG,Colorful,Drama,Retro,Fantasy,Free to Play,Time Travel,Modern",,
Revolution Idle,"11 Oct, 2024",Oni Gaming,Oni Gaming,"Casual,Simulation,Clicker,Idler,2D,Free to Play,Minimalist,Automation,Futuristic,Management,Modern,Indie,Relaxing,Early Access,Resource Management,Time Manipulation,Singleplayer",,
Mini Royale,Coming soon,IndigoBlue,IndigoBlue,"Battle Royale,Shooter,Multiplayer,PvP,Action,Free to Play,Third Person,Adventure,Military,Survival,FPS,Looter Shooter,Early Access,Arena Shooter,Indie,Third-Person Shooter,First-Person,World War II,Character Customization,Controller",,
Tales of Rein Ravine,"11 Oct, 2024",Maia the Horsegirl,Maia the Horsegirl,"Horses,Singleplayer,Female Protagonist,Atmospheric,Nature,Stylized,Drama,Interactive Fiction,Exploration,Sports,3D,Mystery,Colorful,Adventure,Linear,Free to Play,Early Access,First-Person,Indie,Third Person",,
Mash Box,"17 Oct, 2024",Mash Games,Mash Games,"Casual,Simulation,Sports,Sandbox,3D,Third Person,Bikes,BMX,Skateboarding,Free to Play,Snowboarding,Early Access,Indie,Action,Controller,Physics,Multiplayer,Singleplayer",,
Blood Strike,"18 Oct, 2024",NetEase Games,NetEase Games,"Action,Adventure,Battle Royale,Free to Play,Shooter,Massively Multiplayer,Strategy,Multiplayer,Survival,PvP,Early Access,FPS",,
Soccer Manager 2025,"23 Oct, 2024",Invincibles Studio Ltd,Invincibles Studio Ltd,"Simulation,Sports,Football (Soccer),Management,Immersive Sim,Real Time Tactics,3D,Singleplayer,Free to Play,Realistic,Tactical,Text-Based,Cinematic,2D,Colorful",,
STRAFTAT,"24 Oct, 2024",Sirius Lemaitre,Lemaitre Bros,"Action,Shooter,FPS,3D,1990's,PvP,Multiplayer,Gore,Violent,Free to Play,Arena Shooter,Retro,Atmospheric,Fast-Paced",,
White Knuckle Demo,"24 Oct, 2024",Dark Machine Games,Dark Machine Games,"Action,Parkour,Platformer,Dark,Underground,First-Person,Atmospheric,Precision Platformer,Roguelike,Score Attack,Horror,Procedural Generation,Survival Horror,Linear,Resource Management,Adventure,Boomer Shooter,Inventory Management,Old School,Pixel Graphics",,
Bloons Card Storm,"28 Oct, 2024",Ninja Kiwi,Ninja Kiwi,"Strategy,Card Game,Deckbuilding,PvP,Multiplayer,Card Battler,PvE,Singleplayer,Free to Play,3D,Colorful,Tactical,Family Friendly,Turn-Based Tactics",,
PUMPKIN PANIC,"30 Oct, 2024",Bilalaika,Bilalaika,"Survival Horror,Free to Play,Agriculture,Perma Death,Horror,Cute,Singleplayer,Adventure,Indie,Farming Sim,2.5D,Simulation,Stylized,Controller",,
Haven & Hearth,"1 Nov, 2024",Seatribe,Seatribe,"Early Access,MMORPG,RPG,Sandbox,Adventure,Survival,Exploration,Open World,Walking Simulator,Perma Death,Top-Down,PvP,Isometric,3D,Crafting,Massively Multiplayer,Base Building,Agriculture,Cooking,Hunting",,
Skill Legends Royale,"4 Nov, 2024",ZGGame,ZGGame,"Strategy,Auto Battler,Card Battler,Turn-Based Tactics,Massively Multiplayer,Roguelike,PvP,Card Game,2D,Casual,Hand-drawn,Stylized,Medieval,Fantasy,Cartoon,Multiplayer,Survival,Tactical RPG,Strategy RPG,Automation",,
Brighter Shores,"6 Nov, 2024",Fen Research Ltd,Fen Research Ltd,"Early Access,MMORPG,RPG,Point & Click,Relaxing,Exploration,PvE,Third Person,Isometric,Open World,Fishing,Cooking,Mining,Story Rich,Character Customization,Stylized,Conversation,Fantasy,Tutorial,Trading",,
Shape of Dreams: Prologue,"12 Nov, 2024",Lizard Smoothie,NEOWIZ,"Action,Roguelike,Action Roguelike,Online Co-Op,Dungeon Crawler,Multiplayer,Exploration,Singleplayer,Roguelite,Top-Down,Adventure,Fantasy,Co-op,Stylized,3D,Cartoony,Combat,Atmospheric,Logic,PvE",,
Idle Sphere,"17 Nov, 2024","Idle System, Inc.","Idle System, Inc.","Early Access,Simulation,Idler,Auto Battler,Time Management,Clicker,Space Sim,2D,Minimalist,Abstract,Fantasy,Relaxing,Space,Emotional,Science,Atmospheric,PvE,Automation,Resource Management,Singleplayer",,
SUPERVIVE,"20 Nov, 2024",Theorycraft Games,Theorycraft Games,"Early Access,Battle Royale,Free to Play,MOBA,Hero Shooter,Team-Based,PvP,Multiplayer,eSports,Tactical,Strategy,Action,Class-Based,Fantasy,Action RPG,Third-Person Shooter,Adventure,Top-Down Shooter,Exploration,Online Co-Op",,
Strinova,"21 Nov, 2024",iDreamSky,iDreamSky,"Free to Play,Anime,Third-Person Shooter,Hero Shooter,FPS,Shooter,PvP,Multiplayer,Real Time Tactics,Third Person,Action,Sexual Content,eSports,Team-Based,Online Co-Op,Co-op,MOBA,Massively Multiplayer,Female Protagonist,3D",,
DYNASTY WARRIORS: ORIGINS Demo,"21 Nov, 2024","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.","Musou,Spectacle fighter,Hack and Slash,Wargame,RPG,Martial Arts,Strategy,Action RPG,Third Person,3D,Historical,Swordplay,Story Rich,Multiple Endings,Action,Controller,Tactical,War,Singleplayer,Cinematic",,
Arisen Force: Life Devotee,"24 Nov, 2024",Lemport,Lemport,"Action,Action RPG,Beat 'em up,Souls-like,Free to Play,RPG,JRPG,Fantasy,Arcade,Pixel Graphics,Side Scroller,Adventure,Linear,2.5D,Isometric,Controller,Funny,Mystery,Exploration,Singleplayer",,
Elin,"1 Nov, 2024",Lafrontier,Lafrontier,"Early Access,Character Customization,Open World,Roguelike,Traditional Roguelike,JRPG,RPG,Pixel Graphics,Singleplayer,2D,Dungeon Crawler,Exploration,Difficult,Nonlinear,Multiplayer,Procedural Generation,Loot,Mystery Dungeon,Sandbox,Perma Death",,
Conquest Dark Demo,"4 Dec, 2024",Eldritch Sword Games,Mad Mushroom,"Action,RPG,Action Roguelike,Action RPG,Roguelike,Roguelite,Isometric,Alternate History,Dark,Dark Fantasy,Fantasy,Violent,Indie,Medieval,Mythology,Controller,Singleplayer,Linear",,
EA SPORTS FC™ 25 SHOWCASE,"5 Dec, 2024",EA Canada & EA Romania,Electronic Arts,"PvP,Simulation,Sports,Multiplayer,Singleplayer,eSports,Realistic,Split Screen",,
Dauntless,"5 Dec, 2024",Phoenix Labs,Phoenix Labs,"Action RPG,Hunting,PvE,Online Co-Op,Hack and Slash,Loot,Crafting,3D,Stylized,Third Person,Character Customization,Team-Based,Magic,Multiplayer,RPG,Co-op,Combat,Fantasy,Colorful,Action",,
Cairn Demo,"5 Dec, 2024",The Game Bakers,The Game Bakers,"Adventure,Exploration,Atmospheric,Walking Simulator,Open World,Replay Value,Immersive,Sports,Cinematic,Singleplayer,Action,Inventory Management,Difficult,Survival,Story Rich,Resource Management,Soundtrack,Simulation,Physics,Stylized",,
UNLIGHT:Revive,"6 Dec, 2024",UNLIGHT LLC,UNLIGHT LLC,"RPG,Strategy,Card Game,Card Battler,Turn-Based Tactics,Anime,Cute,Dark Fantasy,PvE,PvP,Deckbuilding,Free to Play,Story Rich,Singleplayer,Multiplayer,Online Co-Op",,
100 Korea Cats,"15 Dec, 2024",100 Cozy Games,100 Cozy Games,"Free to Play,Casual,Cats,Cozy,Hidden Object,Point & Click,Puzzle,Wholesome,Relaxing,Cute,Creature Collector,Hand-drawn,Minimalist,Cartoony,Indie,Singleplayer,Family Friendly,Exploration,Collectathon,Funny",,
Awaria,"16 Dec, 2024",vanripper,vanripper,"Action,Cute,Top-Down,2D,Bullet Hell,Time Management,Free to Play,Indie,Comedy,Romance,Funny,Singleplayer,Anime,LGBTQ+,Arcade,Female Protagonist,Horror,Difficult",,
RENNSPORT,"16 Dec, 2024",Teyon,Competition Company,"Simulation,Racing,Sports,Automobile Sim,3D,First-Person,Realistic,Third Person,Early Access,PvP,Multiplayer,Singleplayer",,
Lost Islands,"17 Dec, 2024",Jolly Roger Game,Jolly Roger Game,"Action,Adventure,Massively Multiplayer,Violent,RPG,PvP,Realistic,Swordplay,Third Person,Open World,Action RPG,Action-Adventure,Sandbox,Tactical RPG,Exploration,CRPG,Hack and Slash,Souls-like,3D,Colorful",,
MudRunner,"30 Oct, 2017",Saber Interactive,Focus Entertainment,"Offroad,Simulation,Automobile Sim,Multiplayer,Driving,Realistic,Physics,Open World,Co-op,Online Co-Op,Mod,Moddable,Singleplayer,Sandbox,Racing,Exploration,Adventure,Atmospheric,First-Person,Third Person",,Buy MudRunner
MudRunner VR,"23 Oct, 2024",Saber Interactive Inc.,Saber Interactive Inc.,"Adventure,Simulation,Racing,Action-Adventure,Choose Your Own Adventure,First-Person,Open World,Singleplayer,VR",,
Indivisible,"8 Oct, 2019",Lab Zero Games,505 Games,"RPG,Indie,Action,Platformer,Female Protagonist,Anime,Hand-drawn,Metroidvania,Turn-Based Combat,2D,Singleplayer,Side Scroller,Great Soundtrack,Fantasy,JRPG,Action RPG,Cute,Colorful,Sexual Content,Story Rich",,Buy Indivisible
Little Nightmares II,"10 Feb, 2021",Tarsier Studios,BANDAI NAMCO Entertainment,"Horror,Adventure,Singleplayer,Puzzle,Dark,Atmospheric,Psychological Horror,Story Rich,Stealth,Action-Adventure,Puzzle Platformer,Multiplayer,Indie,Platformer,Great Soundtrack,2.5D,Thriller,Action,Co-op,Violent",,
Slime Rancher 2,"22 Sep, 2022",Monomi Park,Monomi Park,"Early Access,Cute,Relaxing,Colorful,Open World,Singleplayer,First-Person,Creature Collector,Adventure,Simulation,Family Friendly,Casual,Female Protagonist,3D,Fantasy,Multiplayer,Building,Action-Adventure,FPS,Action",,Buy Slime Rancher 2
